time,local_date,sensor_id,pm10,pm25,no2,latitude,longitude
18,2023-10-08T18:00:00,4926,14.9,6.58,10.0,51.01628,2.582323
10,2023-10-09T10:00:00,4926,33.9,25.38,12.0,51.01628,2.582323
14,2023-10-09T14:00:00,4926,33.4,24.44,15.5,51.01628,2.582323
18,2023-10-09T18:00:00,4926,25.4,11.28,17.5,51.01628,2.582323
10,2023-10-10T10:00:00,4926,28.9,14.57,8.5,51.01628,2.582323
14,2023-10-10T14:00:00,4926,23.4,13.16,11.5,51.01628,2.582323
18,2023-10-10T18:00:00,4926,19.9,7.52,4.0,51.01628,2.582323
10,2023-10-11T10:00:00,4926,26.9,14.57,4.0,51.01628,2.582323
14,2023-10-11T14:00:00,4926,29.4,14.57,6.0,51.01628,2.582323
18,2023-10-11T18:00:00,4926,51.4,20.68,4.0,51.01628,2.582323
10,2023-10-12T10:00:00,4926,25.9,13.16,5.0,51.01628,2.582323
14,2023-10-12T14:00:00,4926,18.9,10.34,6.0,51.01628,2.582323
18,2023-10-12T18:00:00,4926,7.4,3.29,2.5,51.01628,2.582323
10,2023-10-13T10:00:00,4926,18.4,8.46,4.0,51.01628,2.582323
14,2023-10-13T14:00:00,4926,34.9,13.63,7.0,51.01628,2.582323
18,2023-10-13T18:00:00,4926,28.4,12.69,2.0,51.01628,2.582323
10,2023-10-14T10:00:00,4926,15.4,5.64,2.5,51.01628,2.582323
14,2023-10-14T14:00:00,4926,13.4,5.64,3.5,51.01628,2.582323
18,2023-10-14T18:00:00,4926,9.4,3.76,3.0,51.01628,2.582323
10,2023-10-15T10:00:00,4926,10.4,3.76,2.5,51.01628,2.582323
14,2023-10-15T14:00:00,4926,8.9,2.82,2.0,51.01628,2.582323
18,2023-10-15T18:00:00,4926,9.4,3.29,2.5,51.01628,2.582323
10,2023-10-16T10:00:00,4926,25.4,7.99,19.0,51.01628,2.582323
14,2023-10-16T14:00:00,4926,15.9,7.99,15.0,51.01628,2.582323
18,2023-10-16T18:00:00,4926,15.4,5.64,7.5,51.01628,2.582323
10,2023-10-17T10:00:00,4926,23.4,16.92,18.0,51.01628,2.582323
14,2023-10-17T14:00:00,4926,16.4,7.99,12.0,51.01628,2.582323
18,2023-10-17T18:00:00,4926,17.4,7.05,9.0,51.01628,2.582323
10,2023-10-18T10:00:00,4926,16.4,8.93,14.0,51.01628,2.582323
14,2023-10-18T14:00:00,4926,19.4,9.4,15.5,51.01628,2.582323
18,2023-10-18T18:00:00,4926,24.4,8.46,12.5,51.01628,2.582323
10,2023-10-19T10:00:00,4926,13.9,4.23,2.5,51.01628,2.582323
14,2023-10-19T14:00:00,4926,23.4,7.99,8.0,51.01628,2.582323
18,2023-10-19T18:00:00,4926,10.4,4.7,3.5,51.01628,2.582323
10,2023-10-20T10:00:00,4926,10.4,5.17,8.5,51.01628,2.582323
14,2023-10-20T14:00:00,4926,4.9,1.88,4.5,51.01628,2.582323
18,2023-10-20T18:00:00,4926,9.9,4.7,4.0,51.01628,2.582323
10,2023-10-21T10:00:00,4926,5.4,1.88,1.0,51.01628,2.582323
14,2023-10-21T14:00:00,4926,7.4,1.88,2.0,51.01628,2.582323
18,2023-10-21T18:00:00,4926,5.4,2.35,2.0,51.01628,2.582323
10,2023-10-22T10:00:00,4926,8.9,3.76,6.5,51.01628,2.582323
14,2023-10-22T14:00:00,4926,7.9,3.29,3.0,51.01628,2.582323
18,2023-10-22T18:00:00,4926,6.9,2.82,3.0,51.01628,2.582323
10,2023-10-23T10:00:00,4926,17.9,9.4,17.0,51.01628,2.582323
14,2023-10-23T14:00:00,4926,24.9,10.81,21.5,51.01628,2.582323
18,2023-10-23T18:00:00,4926,16.4,7.52,13.5,51.01628,2.582323
10,2023-10-24T10:00:00,4926,13.4,8.93,5.5,51.01628,2.582323
14,2023-10-24T14:00:00,4926,7.4,4.23,4.5,51.01628,2.582323
10,2023-10-25T10:00:00,4926,11.9,5.64,8.5,51.01628,2.582323
14,2023-10-25T14:00:00,4926,6.4,2.35,4.5,51.01628,2.582323
18,2023-10-25T18:00:00,4926,6.4,1.88,6.0,51.01628,2.582323
10,2023-10-26T10:00:00,4926,22.9,13.63,9.0,51.01628,2.582323
14,2023-10-26T14:00:00,4926,9.9,5.64,10.5,51.01628,2.582323
18,2023-10-26T18:00:00,4926,14.4,6.58,2.5,51.01628,2.582323
10,2023-10-27T10:00:00,4926,8.9,2.82,3.5,51.01628,2.582323
14,2023-10-27T14:00:00,4926,5.4,1.88,4.5,51.01628,2.582323
18,2023-10-27T18:00:00,4926,6.4,2.35,2.0,51.01628,2.582323
10,2023-10-28T10:00:00,4926,7.4,2.82,2.0,51.01628,2.582323
14,2023-10-28T14:00:00,4926,9.4,4.23,2.0,51.01628,2.582323
18,2023-10-28T18:00:00,4926,12.9,6.11,2.0,51.01628,2.582323
9,2023-10-29T09:00:00,4926,6.4,1.88,1.5,51.01628,2.582323
13,2023-10-29T13:00:00,4926,12.9,5.64,2.0,51.01628,2.582323
17,2023-10-29T17:00:00,4926,6.4,1.88,1.0,51.01628,2.582323
9,2023-10-30T09:00:00,4926,11.9,5.64,3.5,51.01628,2.582323
13,2023-10-30T13:00:00,4926,9.9,4.7,6.0,51.01628,2.582323
17,2023-10-30T17:00:00,4926,8.9,3.76,7.0,51.01628,2.582323
9,2023-10-31T09:00:00,4926,13.4,8.93,6.5,51.01628,2.582323
13,2023-10-31T13:00:00,4926,11.9,6.58,6.0,51.01628,2.582323
17,2023-10-31T17:00:00,4926,10.9,4.7,5.0,51.01628,2.582323
